Policy ID,Insurance Provider,Policy Name,Coverage Type,Premium Amount (Annual),Coverage Details,Eligibility Criteria,Network Hospitals,Claim Settlement Ratio (%),Waiting Period,Exclusions,Additional Benefits,Category
POL1000,Blue Cross,Family Protect,Corporate,48335,"Critical Illness, Surgery","Self-employed, Tax Benefits",265,80.08,3 months,Dental & Vision,Discounted Medicines,Adults
POL1001,Aetna,Senior Secure,Corporate,49544,"Hospitalization, OPD","18-60 years, No pre-existing conditions",198,88.43,1 month,Maternity Benefits,Discounted Medicines,Seniors
POL1002,UnitedHealth,Critical Guard,Individual,49766,"Hospitalization, OPD","Self-employed, Tax Benefits",401,80.68,1 month,Maternity Benefits,24/7 Teleconsultation,Seniors
POL1003,Humana,Family Protect,Corporate,33363,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",136,78.4,3 months,Pre-existing conditions (2 years),24/7 Teleconsultation,Critical Illness
POL1004,MetLife,Basic Care,Family,34168,"Hospitalization, OPD","Employed, Company-sponsored",95,84.44,2 years,Maternity Benefits,Fitness Membership,Corporate
POL1005,MetLife,Corporate Shield,Individual,8611,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",140,90.19,1 year,Dental & Vision,Free Annual Checkup,Corporate
POL1006,Cigna,Senior Secure,Individual,44982,"Maternity, Vision, Dental","Employed, Company-sponsored",368,74.69,1 month,Cosmetic Surgery,Free Annual Checkup,Adults
POL1007,MetLife,Comprehensive Plus,Senior Citizen,37775,"Maternity, Vision, Dental","Self-employed, Tax Benefits",232,74.29,6 months,Dental & Vision,Fitness Membership,Children
POL1008,Cigna,Comprehensive Plus,Senior Citizen,19540,Full Coverage,"Self-employed, Tax Benefits",473,81.14,1 year,Maternity Benefits,24/7 Teleconsultation,Adults
POL1009,Cigna,Comprehensive Plus,Senior Citizen,26030,"Hospitalization, OPD","60+ years, Medical Checkup Required",463,78.53,1 year,Dental & Vision,24/7 Teleconsultation,Children
POL1010,UnitedHealth,Critical Guard,Senior Citizen,5624,Full Coverage,"60+ years, Medical Checkup Required",455,80.17,1 month,Dental & Vision,Free Annual Checkup,Children
POL1011,UnitedHealth,Family Protect,Individual,28892,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",335,89.67,2 years,Cosmetic Surgery,Fitness Membership,Corporate
POL1012,UnitedHealth,Corporate Shield,Family,16955,"Hospitalization, OPD","Employed, Company-sponsored",354,93.89,3 months,Maternity Benefits,24/7 Teleconsultation,Adults
POL1013,Humana,Comprehensive Plus,Individual,36064,Full Coverage,"Employed, Company-sponsored",481,82.32,6 months,Cosmetic Surgery,Free Annual Checkup,Corporate
POL1014,Cigna,Comprehensive Plus,Family,13373,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",437,89.26,6 months,Cosmetic Surgery,Discounted Medicines,Children
POL1015,UnitedHealth,Critical Guard,Senior Citizen,11428,"Maternity, Vision, Dental","Self-employed, Tax Benefits",236,89.88,6 months,Maternity Benefits,24/7 Teleconsultation,Corporate
POL1016,Humana,Family Protect,Senior Citizen,47909,Full Coverage,"60+ years, Medical Checkup Required",196,91.31,3 months,Cosmetic Surgery,24/7 Teleconsultation,Adults
POL1017,Humana,Family Protect,Senior Citizen,13529,Full Coverage,"60+ years, Medical Checkup Required",250,81.83,1 year,Cosmetic Surgery,24/7 Teleconsultation,Adults
POL1018,Humana,Critical Guard,Family,34795,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",204,91.46,3 months,Dental & Vision,Fitness Membership,Adults
POL1019,MetLife,Senior Secure,Corporate,14789,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",297,81.92,1 year,Pre-existing conditions (2 years),Free Annual Checkup,Adults
POL1020,Kaiser Permanente,Senior Secure,Corporate,35355,Full Coverage,"Employed, Company-sponsored",321,82.86,2 years,Maternity Benefits,Fitness Membership,Children
POL1021,MetLife,Corporate Shield,Senior Citizen,29627,"Critical Illness, Surgery","Employed, Company-sponsored",264,72.24,2 years,Maternity Benefits,Fitness Membership,Corporate
POL1022,Aetna,Family Protect,Family,21256,"Critical Illness, Surgery","Self-employed, Tax Benefits",375,75.68,1 year,Dental & Vision,Free Annual Checkup,Seniors
POL1023,Kaiser Permanente,Basic Care,Senior Citizen,24593,Full Coverage,"60+ years, Medical Checkup Required",305,88.0,1 month,Pre-existing conditions (2 years),Discounted Medicines,Seniors
POL1024,Cigna,Basic Care,Family,39442,"Hospitalization, OPD","60+ years, Medical Checkup Required",65,73.81,1 year,Cosmetic Surgery,24/7 Teleconsultation,Corporate
POL1025,Kaiser Permanente,Comprehensive Plus,Corporate,21574,"Hospitalization, OPD","Employed, Company-sponsored",69,87.13,6 months,Pre-existing conditions (2 years),Discounted Medicines,Adults
POL1026,Aetna,Comprehensive Plus,Corporate,7944,"Hospitalization, OPD","Self-employed, Tax Benefits",163,94.52,1 year,Maternity Benefits,24/7 Teleconsultation,Corporate
POL1027,MetLife,Senior Secure,Corporate,48971,"Maternity, Vision, Dental","Self-employed, Tax Benefits",64,79.65,6 months,Pre-existing conditions (2 years),24/7 Teleconsultation,Corporate
